clone_003.wav|viːɾ zɪnt jɛtst baɪ fʏnfʊndɾeːsɪç
clone_004.wav|haloː tsuːrʏk
clone_006.wav|ɪç hɑːbə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə aktiːviːɾt
clone_007.wav|aktiːviːrə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə
clone_008.wav|zɛtsə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə aʊf aktiːf
clone_009.wav|ʃaltə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə an
clone_010.wav|ʃtɛlə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə aʊf an
clone_011.wav|diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə ɪst deːaktiːviːɾt
clone_012.wav|ɪç hɑːbə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə nuːn deːaktiːviːɾt
clone_013.wav|ʃtɛlə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə aʊf iːnaktiːf
clone_014.wav|ʃtɛlə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkə aʊf aʊs
clone_015.wav|deːaktiːviːrə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkeːmɛsʊŋ
clone_016.wav|lœʃə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkeːmɛsʊŋ
clone_017.wav|zɛtsə diː aʊtoːmɑːtɪʃə laʊtʃtɛɾkeːmɛsʊŋ tsuːrʏk
clone_018.wav|lɪstə diː ɡuːtənaxtɡəʃɪçtən aʊf
clone_019.wav|vɛlçə ɡuːtə naxt ɡəʃɪçtən hast duː
clone_020.wav|oːkɛɪ, las mɪç zeːən, ɔp ɪç diːzə ɡəʃɪçtə hɑːbə.
clone_021.wav|liːs miːɾ hariː pɔtɜ fɔɾ
clone_022.wav|liːs miːɾ diː biːbəl fɔɾ
clone_023.wav|ɛɾtsɛːl miːɾ aɪn mɛːɾçən
clone_024.wav|oːkɛɪ, zɪçɜ. hiːɾ ɪst aɪnə ɡɾoːsə aʊsvɑːl aʊs maɪnɜ bɪblɪoːteːk.
clone_025.wav|ɛɾtsɛːl miːɾ aɪnə ɡəʃɪçtə
clone_026.wav|ɛɾtsɛːl miːɾ aɪnə ɡuːtə naxt ɡəʃɪçtə
clone_027.wav|ɛɾtsɛːl ʊns aɪnə ɡəʃɪçtə
clone_028.wav|ɛɾtsɛːl miːɾ aɪnə ɡuːtə ɡəʃɪçtə
clone_029.wav|hɛnzəl ʊnt ɡɾeːtəl
clone_030.wav|das zamtkanɪnçən
clone_031.wav|rʊmpəlstɪltsçən
clone_032.wav|dɛs køːnɪçs nɔøə klaɪdɜ
clone_033.wav|diː pɾɪntsɛsiːn aʊf dɛɾ ɛɾbzeː
clone_034.wav|diː vɪçtəlmɛnɜ
clone_035.wav|ɛs vaɾt diː naxt fɔɾ vaɪhnaxtən
clone_037.wav|aʊsløːzɜ
clone_038.wav|aʊtoːmɑtiːziːrʊŋ
clone_039.wav|reːduːtsiːrə
clone_040.wav|hɛrʊntɜ
clone_045.wav|ɡlyːbɪɾnə
clone_046.wav|ɡlyːbɪɾnən
clone_047.wav|aɪnʃaltən
clone_052.wav|deːtɛktoːɾ
clone_054.wav|viː ɪst dɛɾ aktuːɛlə
clone_055.wav|zɑːɡə miːɾ deːn aktuːɛlən
clone_058.wav|aʊtoːmatsjoːn rɔlɑːdən aʊsɡəlœst.
clone_059.wav|tsɔkən vʊɐdə aʊsɡəlœst.
clone_060.wav|ʃlaftɪmɜ vʊɐdə aktiːviːɾt.
clone_061.wav|viː hɛl? duː kanst aɪnə aɪnʃtɛlʊŋ tsvɪʃən ʊnt vɛːlən.
clone_062.wav|kan bɑːt nɪçt dɪmən. ɛsɪst aʊs.
clone_063.wav|ɪç hɑːbə aɾbaɪtstsɪmɜ aʊf zɛçtsɪç pɾoːtsɛnt ɡədɪmt.
clone_064.wav|zɛtsə diː hɛlɪçkaɪt ɪm hɔbyːraʊm aʊf tseːn pɾoːtsɛnt.
clone_065.wav|hɛlɪçkaɪt fɔn ʃalftsɪmɜ ɛɾhøːt.
clone_066.wav|kaɪnə ɛndərʊŋən an dɛkənlampə foːɾɡənɔmən.
clone_067.wav|kʏçə aʊsɡəʃaltət.
clone_068.wav|lampə ɪst nuːn aʊs.
clone_069.wav|ʃpiːltsɪmɜ vʊɐdə anɡəʃaltət.
clone_070.wav|fluːɾ ɪst ʊmɡəʃaltət.
clone_071.wav|ɛntʃʊldɪɡʊŋ, ɪç kan das hoːmə asɪstɑːntɔpjɛkt nɪçt fɪndən
clone_072.wav|ɛntʃʊldɪɡʊŋ, ɔpjɛkt
clone_073.wav|ɛntʃʊldɪɡʊŋ, ɪç vɑːɾ nɪçt ɪn dɛɾ lɑːɡə, ɛs tsuː fɪndən
clone_074.wav|kɔntə deːn hoːmə asɪstɑːnt(en)sɜːvə(de) nɪçt ɛɾraɪçən.
